epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,234.463,1.23749,0.84075,0.99561,0.46111,0.000255601,0.000255601,0.000255601
2,462.368,0.63777,0.87398,0.99749,0.38269,0.000461253,0.000461253,0.000461253
3,687.341,0.57387,0.88025,0.99436,0.3734,0.000616151,0.000616151,0.000616151
4,908.943,0.53559,0.87649,0.99561,0.38443,0.000540607,0.000540607,0.000540607
5,1134.89,0.47423,0.88715,0.99498,0.33443,0.000464476,0.000464476,0.000464476
6,1392.47,0.38,0.91223,0.99687,0.28754,0.000388345,0.000388345,0.000388345
7,1657.22,0.32939,0.91473,0.99561,0.27285,0.000312214,0.000312214,0.000312214
8,1889.41,0.29173,0.91912,0.99749,0.25852,0.000236083,0.000236083,0.000236083
9,2084.35,0.22976,0.93041,0.99812,0.21786,0.000159952,0.000159952,0.000159952
10,2279.76,0.21911,0.93542,0.99812,0.20868,8.3821e-05,8.3821e-05,8.3821e-05
