epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.32084,1.43971,0.75,1,0.87995,0.0002375,0.0002375,0.0002375
2,16.7136,0.76379,0.93182,1,0.35177,0.000477848,0.000477848,0.000477848
3,24.5202,0.40322,1,1,0.11998,0.000708295,0.000708295,0.000708295
4,32.104,0.28765,1,1,0.06103,0.000928842,0.000928842,0.000928842
5,40.0216,0.16436,0.95455,1,0.10241,0.00113949,0.00113949,0.00113949
6,47.4077,0.28985,0.97727,1,0.08179,0.00112625,0.00112625,0.00112625
7,54.7024,0.15915,0.95455,1,0.08385,0.0011015,0.0011015,0.0011015
8,61.7916,0.20094,0.93182,1,0.12395,0.00107675,0.00107675,0.00107675
9,69.1246,0.1806,0.93182,1,0.12213,0.001052,0.001052,0.001052
10,76.0438,0.13979,0.93182,1,0.18474,0.00102725,0.00102725,0.00102725
11,83.0532,0.18155,0.95455,1,0.17437,0.0010025,0.0010025,0.0010025
12,91.0781,0.22062,0.95455,1,0.24894,0.00097775,0.00097775,0.00097775
13,98.6201,0.18244,0.86364,1,0.30823,0.000953,0.000953,0.000953
14,105.907,0.0882,0.88636,1,0.36385,0.00092825,0.00092825,0.00092825
15,112.939,0.19675,0.90909,1,0.28273,0.0009035,0.0009035,0.0009035
16,120.061,0.09206,0.93182,1,0.25766,0.00087875,0.00087875,0.00087875
17,127.341,0.12745,0.93182,1,0.25852,0.000854,0.000854,0.000854
18,134.3,0.2302,0.93182,1,0.16209,0.00082925,0.00082925,0.00082925
19,141.186,0.22295,0.97727,1,0.05003,0.0008045,0.0008045,0.0008045
20,148.631,0.14462,0.95455,1,0.07447,0.00077975,0.00077975,0.00077975
21,156.317,0.10825,0.95455,1,0.07679,0.000755,0.000755,0.000755
22,164.706,0.15327,0.95455,1,0.10352,0.00073025,0.00073025,0.00073025
23,171.438,0.1365,0.95455,1,0.10652,0.0007055,0.0007055,0.0007055
24,178.088,0.12712,0.93182,1,0.12938,0.00068075,0.00068075,0.00068075
25,185.013,0.17037,0.95455,1,0.11898,0.000656,0.000656,0.000656
26,191.724,0.09164,0.93182,1,0.12244,0.00063125,0.00063125,0.00063125
27,198.334,0.14012,0.95455,1,0.10114,0.0006065,0.0006065,0.0006065
28,205.5,0.08625,0.97727,1,0.11553,0.00058175,0.00058175,0.00058175
29,212.355,0.04814,0.95455,1,0.17335,0.000557,0.000557,0.000557
30,219.887,0.04511,0.95455,1,0.17375,0.00053225,0.00053225,0.00053225
31,227.35,0.06569,0.95455,1,0.16073,0.0005075,0.0005075,0.0005075
32,233.925,0.08451,0.95455,1,0.13646,0.00048275,0.00048275,0.00048275
33,240.664,0.03594,0.95455,1,0.07825,0.000458,0.000458,0.000458
34,247.25,0.10693,0.97727,1,0.06216,0.00043325,0.00043325,0.00043325
35,253.788,0.0944,0.97727,1,0.08424,0.0004085,0.0004085,0.0004085
36,260.64,0.06396,1,1,0.06338,0.00038375,0.00038375,0.00038375
37,268.1,0.06316,0.97727,1,0.08774,0.000359,0.000359,0.000359
38,274.987,0.07289,1,1,0.08245,0.00033425,0.00033425,0.00033425
39,282.38,0.08537,0.97727,1,0.08082,0.0003095,0.0003095,0.0003095
40,289.039,0.06702,1,1,0.06792,0.00028475,0.00028475,0.00028475
41,296.683,0.06102,0.97727,1,0.06726,0.00026,0.00026,0.00026
42,303.988,0.04235,1,1,0.06185,0.00023525,0.00023525,0.00023525
43,314.689,0.08879,1,1,0.04847,0.0002105,0.0002105,0.0002105
44,322.726,0.01943,1,1,0.05221,0.00018575,0.00018575,0.00018575
45,330.514,0.05816,1,1,0.04371,0.000161,0.000161,0.000161
46,337.698,0.02239,1,1,0.0493,0.00013625,0.00013625,0.00013625
47,345.689,0.06272,1,1,0.03801,0.0001115,0.0001115,0.0001115
48,353.146,0.02364,1,1,0.04031,8.675e-05,8.675e-05,8.675e-05
49,360.473,0.01618,1,1,0.04471,6.2e-05,6.2e-05,6.2e-05
50,368.307,0.0113,1,1,0.0363,3.725e-05,3.725e-05,3.725e-05
