epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1108.36,0.55724,0.73027,2.45667,0.90411,0.79112,0.65476,0.84318,0.74146,0.78818,0.64766,0.83847,0.77042,0.48198,0.63314,2.12323,0.87655,0.000412582,0.000412582,0.000412582
2,1160.33,0.60999,0.64287,1.54574,0.92085,0.79694,0.84735,0.88305,0.76642,0.81194,0.84001,0.88619,0.82784,0.55821,0.60651,1.28853,0.93422,0.000812829,0.000812829,0.000812829
3,1212.53,0.64527,0.67276,1.37614,0.94349,0.77921,0.66814,0.79737,0.67371,0.7796,0.6704,0.80357,0.7042,0.66232,0.73089,1.31689,1.00125,0.00119658,0.00119658,0.00119658
4,1265.05,0.63085,0.67959,1.18124,0.94123,0.86014,0.83149,0.88837,0.76684,0.85981,0.83119,0.88804,0.81124,0.57561,0.72869,0.89929,0.95084,0.00117575,0.00117575,0.00117575
5,1316.9,0.60619,0.6554,1.03022,0.93112,0.85334,0.86386,0.91116,0.79127,0.85543,0.86581,0.91556,0.83326,0.56885,0.5293,0.85798,0.94804,0.001151,0.001151,0.001151
6,1368.1,0.57443,0.61074,0.90849,0.91615,0.90336,0.88352,0.93826,0.84269,0.90336,0.88352,0.94004,0.87336,0.48057,0.45497,0.67389,0.89183,0.00112625,0.00112625,0.00112625
7,1420.47,0.55884,0.61873,0.83352,0.91236,0.90731,0.84541,0.93074,0.83522,0.90731,0.84541,0.93074,0.84528,0.48627,0.64659,0.67934,0.88507,0.0011015,0.0011015,0.0011015
8,1470.88,0.54869,0.60021,0.79823,0.91028,0.92455,0.9193,0.96899,0.87339,0.92567,0.92176,0.96854,0.90839,0.43988,0.4397,0.56321,0.86667,0.00107675,0.00107675,0.00107675
9,1522.6,0.526,0.57251,0.73607,0.90358,0.90137,0.81748,0.94333,0.84287,0.90496,0.82138,0.94443,0.87416,0.48645,0.4454,0.70418,0.9017,0.001052,0.001052,0.001052
10,1573.05,0.51595,0.55054,0.68799,0.89877,0.89394,0.94244,0.97122,0.89931,0.89593,0.94439,0.97272,0.92218,0.41203,0.38939,0.5112,0.85712,0.00102725,0.00102725,0.00102725
11,1623.67,0.49976,0.53616,0.66203,0.89228,0.93406,0.92144,0.97417,0.90943,0.93605,0.92339,0.97567,0.92038,0.37804,0.47003,0.50041,0.84762,0.0010025,0.0010025,0.0010025
12,1675.24,0.47735,0.55188,0.65595,0.88133,0.93244,0.91444,0.97362,0.8987,0.93354,0.91662,0.97393,0.91433,0.39983,0.39073,0.50897,0.86225,0.00097775,0.00097775,0.00097775
13,1725.45,0.4607,0.51378,0.62292,0.8837,0.92413,0.88887,0.968,0.90267,0.92413,0.88887,0.96546,0.90407,0.38176,0.58344,0.49483,0.85461,0.000953,0.000953,0.000953
14,1777.42,0.45509,0.51321,0.57359,0.8773,0.93941,0.89064,0.97372,0.91759,0.93941,0.89064,0.97316,0.93029,0.34668,0.37845,0.46447,0.83155,0.00092825,0.00092825,0.00092825
15,1827.15,0.45302,0.48828,0.56113,0.87728,0.95653,0.91913,0.97818,0.92337,0.94433,0.93531,0.979,0.93452,0.35192,0.35068,0.42284,0.83705,0.0009035,0.0009035,0.0009035
16,1878.28,0.4483,0.47117,0.57529,0.87648,0.95913,0.91013,0.97779,0.91246,0.95913,0.91013,0.97792,0.92602,0.40175,0.40622,0.44777,0.86169,0.00087875,0.00087875,0.00087875
17,1928.55,0.44055,0.49881,0.55214,0.87778,0.96482,0.92966,0.98455,0.93339,0.96482,0.92966,0.98455,0.93333,0.35343,0.43146,0.43574,0.83863,0.000854,0.000854,0.000854
18,1979.72,0.46278,0.52165,0.56501,0.90154,0.94064,0.92939,0.98051,0.92648,0.94064,0.92939,0.98057,0.93575,0.35302,0.3384,0.41652,0.82959,0.00082925,0.00082925,0.00082925
19,2030.84,0.4327,0.47535,0.50881,0.87794,0.97699,0.92483,0.98638,0.94188,0.97699,0.92483,0.98638,0.94355,0.31513,0.33674,0.38033,0.8251,0.0008045,0.0008045,0.0008045
20,2080.71,0.43028,0.47123,0.4947,0.87649,0.94292,0.93862,0.98296,0.9364,0.94292,0.93862,0.98296,0.93494,0.33522,0.35551,0.39171,0.82058,0.00077975,0.00077975,0.00077975
21,2131.83,0.42338,0.47471,0.49604,0.86715,0.96651,0.93877,0.98662,0.94706,0.96651,0.93877,0.98662,0.93787,0.31061,0.3614,0.38553,0.82155,0.000755,0.000755,0.000755
22,2181.8,0.40956,0.47173,0.48127,0.87048,0.97656,0.93406,0.9862,0.94781,0.97656,0.93406,0.98572,0.94049,0.30938,0.35077,0.35554,0.82788,0.00073025,0.00073025,0.00073025
23,2233.32,0.41174,0.46329,0.46089,0.86631,0.96021,0.90395,0.98379,0.94399,0.96021,0.90395,0.98379,0.94005,0.30655,0.34507,0.39664,0.82007,0.0007055,0.0007055,0.0007055
24,2284.15,0.39929,0.44215,0.44735,0.86509,0.94283,0.9445,0.9812,0.94562,0.94283,0.9445,0.98139,0.93727,0.30267,0.40828,0.39299,0.8121,0.00068075,0.00068075,0.00068075
25,2334.77,0.38871,0.4435,0.44904,0.858,0.95861,0.94509,0.98427,0.94226,0.96825,0.93546,0.98307,0.93843,0.29971,0.34658,0.36693,0.81813,0.000656,0.000656,0.000656
26,2387.27,0.38939,0.43252,0.44835,0.86872,0.96419,0.95765,0.98695,0.95748,0.96419,0.95765,0.98695,0.94732,0.28493,0.36374,0.32898,0.80587,0.00063125,0.00063125,0.00063125
27,2437.59,0.37493,0.41893,0.45704,0.84929,0.97223,0.95465,0.98978,0.96297,0.97223,0.95465,0.98845,0.9513,0.27441,0.36182,0.31955,0.8089,0.0006065,0.0006065,0.0006065
28,2489.36,0.36932,0.43745,0.41648,0.85759,0.98378,0.94642,0.99095,0.96255,0.98378,0.94642,0.99095,0.95513,0.27752,0.31411,0.31452,0.81212,0.00058175,0.00058175,0.00058175
